workflow_roles,pass_at_k,tokens
Performance Optimizer -> Solution Ranker,0.5333333333333333,10121.333333333334
Performance Optimizer -> Solution Ranker -> Comment & Hint Writer,0.475,15071.5
Performance Optimizer -> Solution Ranker -> Requirement Extractor,0.5,15173.0
Solution Ranker,0.25,6341.0
Solution Planner -> Performance Optimizer -> Robustness Engineer -> Consistency Checker -> Algorithm Strategist -> Interface Designer -> Boundary Tester,0.55,38508.0
Consistency Checker,0.2833333333333333,6105.0
Algorithm Strategist -> Complexity Estimator,0.525,10248.5
Algorithm Strategist -> Data Structure Planner,0.5666666666666667,10129.333333333334
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Quality Auditor,0.5,20273.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Quality Auditor,0.45,21812.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Data & Arrays Specialist,0.85,24506.5
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Performance Optimizer,0.575,18770.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Solution Reviewer,0.6,21450.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Final Presenter,0.6,21908.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Assumption Checker,0.3,21397.0
Algorithm Strategist -> Data Structure Planner -> Problem Analyzer -> Algorithm Strategist -> Data Structure Planner,0.45,26162.0
Algorithm Strategist -> Data Structure Planner -> Performance Optimizer -> Test Designer,0.6,20299.0
Algorithm Strategist -> Data Structure Planner -> Performance Optimizer -> Solution Refiner,0.65,22779.0
Algorithm Strategist -> Data Structure Planner -> Algorithm Strategist -> Data Structure Planner,0.75,21362.0
Algorithm Strategist -> Data Structure Planner,0.5,10760.0
Algorithm Strategist -> Data Structure Planner,0.4,10282.0
Algorithm Strategist -> Data Structure Planner -> Algorithm Strategist -> Data Structure Planner -> Solution Drafter -> Solution Reviewer,0.7,33212.0
