workflow_roles,pass_at_k,tokens
Progress Summarizer -> Dynamic Programming Specialist,0.5666666666666667,57970
Answer Extractor,0.3,30030
Task Decomposer,0.4666666666666667,31582
Dynamic Programming Specialist,0.4666666666666667,30821
Answer Extractor,0.4666666666666667,30479
Assumption Checker,0.4666666666666667,30824
Input/State Inspector,0.43333333333333335,30544
Regression Sentinel -> Docstring Author,0.5333333333333333,57452
Regression Sentinel -> Solution Refiner,0.5333333333333333,57328
Logic Implementer,0.4,33238
Test Designer -> Solution Planner -> Constraint Analyzer,0.5333333333333333,86463
Solution Reviewer,0.4,30947
Answer Extractor -> Strategy Selector,0.5,56550
Interface Designer -> Solution Planner,0.5,57447
Solution Planner,0.4,31150
Logic Implementer -> Test Designer,0.5,58290
Task Decomposer,0.4,31472
Test Designer -> Final Presenter,0.5,62160
Docstring Author -> Task Decomposer,0.5,57332
Solution Planner,0.4,30807
Solution Reviewer -> Algorithm Strategist -> Solution Refiner -> Regression Sentinel,0.43333333333333335,113906
Stepwise Reasoner -> Data Structure Planner -> Regression Sentinel,0.4666666666666667,85678
Solution Refiner,0.4,30298
Logic Implementer -> Summary Author,0.43333333333333335,58119
Solution Planner -> Test Designer -> Constraint Analyzer -> Solution Reviewer,0.36666666666666664,112898
Stepwise Reasoner -> Summary Author -> Input/State Inspector,0.36666666666666664,84900
Regression Sentinel -> Solution Planner,0.43333333333333335,56893
Summary Author -> Assumption Checker,0.3,58768
Progress Summarizer -> Correctness Verifier -> Task Decomposer,0.5333333333333333,85849
Solution Planner -> Data Structure Planner,0.3333333333333333,57150
Math Specialist -> Task Decomposer,0.4,57180
Test Designer -> Solution Planner -> Interface Designer -> Boundary Tester,0.43333333333333335,112032
Answer Extractor -> Task Decomposer,0.4,63960
Test Designer -> Solution Planner -> Constraint Analyzer,0.4,90978
Task Decomposer -> Progress Summarizer,0.4,57930
Data Structure Planner -> Task Decomposer,0.36666666666666664,58527
Solution Planner -> Approach Evaluator,0.3333333333333333,58539
Conflict Resolver -> Input/State Inspector,0.36666666666666664,56945
Task Decomposer -> Docstring Author -> Answer Extractor,0.4,86603
Test Designer -> Constraint Analyzer,0.5,58050
Task Decomposer -> Logic Implementer -> Conflict Resolver,0.4,86635
Task Decomposer -> Docstring Author,0.4666666666666667,60063
Solution Refiner -> Final Presenter,0.43333333333333335,56160
Solution Planner -> Test Designer -> Constraint Analyzer,0.4666666666666667,86391
Regression Sentinel -> Solution Planner,0.5666666666666667,57043
Approach Evaluator -> Counterexample Generator,0.43333333333333335,58020
Solution Planner -> Test Designer -> Input/State Inspector,0.43333333333333335,84765
Data Structure Planner -> Task Decomposer,0.4666666666666667,58020
Regression Sentinel -> Progress Summarizer,0.36666666666666664,56622
Assumption Checker -> Solution Planner,0.3,58344
Final Presenter -> Task Decomposer,0.43333333333333335,57210
Solution Reviewer,0.3333333333333333,31005
Solution Planner -> Answer Extractor,0.4,57285
Performance Optimizer -> Problem Analyzer -> Style & Hygiene Enforcer -> Solution Planner,0.4,117322
Answer Extractor -> Summary Author -> Logic Implementer,0.5333333333333333,84817
Data Structure Planner -> Solution Reviewer,0.36666666666666664,58159
Interface Designer -> Comment & Hint Writer,0.36666666666666664,56790
Dynamic Programming Specialist -> Progress Summarizer,0.4,58650
Solution Planner -> Answer Extractor,0.4,57615
Logic Implementer -> Conflict Resolver,0.4666666666666667,57641
Dynamic Programming Specialist,0.4,31150
Input/State Inspector,0.26666666666666666,30981
Solution Reviewer -> Math Specialist,0.4,57870
Task Decomposer -> Logic Implementer,0.43333333333333335,58903
Solution Refiner -> Regression Sentinel,0.43333333333333335,57097
Regression Sentinel -> Solution Planner,0.5,56791
Final Presenter -> Test Designer,0.36666666666666664,58092
Task Decomposer -> Solution Planner,0.43333333333333335,58470
Docstring Author,0.36666666666666664,30761
Input/State Inspector,0.36666666666666664,30581
Final Presenter -> Assumption Checker,0.4,58038
Input/State Inspector -> Solution Planner,0.4,57096
Summary Author,0.43333333333333335,30934
Answer Extractor,0.5,30369
Docstring Author,0.43333333333333335,30821
Test Designer -> Solution Planner,0.43333333333333335,58497
Logic Implementer -> Solution Planner,0.4,63889
Solution Planner -> Input/State Inspector -> Progress Summarizer,0.4,83880
Docstring Author -> Regression Sentinel,0.4,56779
Final Presenter -> Logic Implementer -> Conflict Resolver,0.5333333333333333,84651
Summary Author -> Logic Implementer,0.4,57719
Solution Reviewer -> Solution Refiner,0.5,58290
Task Decomposer -> Docstring Author,0.43333333333333335,59073
Solution Planner -> Regression Sentinel -> Solution Refiner,0.36666666666666664,84481
Test Designer -> Solution Planner -> Constraint Analyzer,0.36666666666666664,86049
Task Decomposer -> Math Specialist,0.4666666666666667,58800
Data Structure Planner -> Strategy Selector -> Performance Optimizer -> Test Designer,0.43333333333333335,111330
Test Designer,0.43333333333333335,31682
Logic Implementer -> Final Presenter,0.4,57933
Problem Analyzer -> Style & Hygiene Enforcer -> Solution Planner -> Interface Designer,0.43333333333333335,126925
Regression Sentinel,0.43333333333333335,30127
Dynamic Programming Specialist -> Task Decomposer -> Counterexample Generator,0.4,84727
Task Decomposer,0.4,31233
Solution Planner -> Test Designer -> Constraint Analyzer,0.36666666666666664,86691
Solution Planner,0.4,30852
Logic Implementer -> Conflict Resolver,0.4,57241
Strategy Selector -> Performance Optimizer,0.4666666666666667,56802
Strategy Selector -> Regression Sentinel,0.5,56666
Answer Extractor,0.4666666666666667,30509
Dynamic Programming Specialist -> Task Decomposer,0.5,58327
