workflow_roles,pass_at_k,tokens
Graph & Combinatorics Specialist,0.1,6309.25
Solution Drafter,0.825,6862.5
Data & Arrays Specialist,0.8125,6437.5
Progress Summarizer,0.0375,6418.75
Data & Arrays Specialist -> Task Decomposer,0.8,12881.25
Data & Arrays Specialist,0.8,6851.75
Data & Arrays Specialist,0.7875,7097.5
Quality Gatekeeper,0.025,6463.0
Solution Drafter -> Solution Planner,0.8,13019.5
Data & Arrays Specialist,0.75,6740.666666666667
Input/State Inspector -> Progress Summarizer,0.7,12849
Quality Gatekeeper -> Strategy Selector -> Approach Evaluator,0.7,19773
Progress Summarizer -> Output Specifier,0.5,11909
Solution Planner -> Solution Drafter,0.8,15469
Solution Ranker -> Solution Drafter,0.8,12825
Correctness Verifier -> Progress Summarizer,0.75,12261
Quality Gatekeeper -> Problem Analyzer,0.5,15331
Quality Gatekeeper -> Robustness Engineer,0.8,12662
Output Specifier -> Quality Gatekeeper,0.7,14435
Progress Summarizer -> Approach Evaluator,0.55,12561
Docstring Author -> Data & Arrays Specialist,0.7625,12205.0
Solution Drafter -> Progress Summarizer,0.7875,12398.75
Solution Planner,0.0125,6582.0
Dynamic Programming Specialist -> Solution Reviewer,0.75,12180.5
Solution Ranker -> Data & Arrays Specialist,0.7625,12636.0
Task Decomposer -> Progress Summarizer,0.7,12052.75
Solution Drafter -> Solution Reviewer,0.7625,12819.25
Quality Gatekeeper -> Solution Drafter,0.75,12415.0
Progress Summarizer -> Task Decomposer,0.6625,12484.75
Performance Optimizer -> Quality Gatekeeper,0.7375,13014.75
